sample_name	lab	sex	pop	imputed	sample_string
HG00306	1	2.0	FIN	0	1.M_111124_1
HG00308	3	0	FIN	1	3.M_120202_3
HG00309	7	2.0	FIN	0	7.M_120219_7
HG00310	4	1.0	FIN	0	4.M_120208_3
HG00311	4	1.0	FIN	0	4.M_120208_6
HG00312	7	1.0	FIN	0	7.M_120219_6
HG00313	2	2.0	FIN	0	2.M_111216_6
HG00315	2	2.0	FIN	0	2.M_111215_5
HG00319	4	2.0	FIN	0	4.M_120208_7
HG00320	1	2.0	FIN	0	1.M_111124_1
HG00321	2	1.0	FIN	0	2.M_111216_2
HG00323	1	2.0	FIN	0	1.M_111124_4
HG00324	1	2.0	FIN	0	1.M_111124_2
HG00325	5	1.0	FIN	0	5.M_120131_1
HG00326	1	2.0	FIN	0	1.M_111124_7
HG00327	3	2.0	FIN	0	3.M_120202_4
HG00328	2	2.0	FIN	0	2.M_111215_4
HG00329	5	1.0	FIN	0	5.M_120131_3
HG00330	1	2.0	FIN	0	1.M_120209_2
HG00331	7	2.0	FIN	0	7.M_120219_8
HG00332	6	2.0	FIN	0	6.M_120217_1
HG00334	2	2.0	FIN	0	2.M_111216_5
HG00335	2	1.0	FIN	0	2.M_111216_5
HG00336	1	1.0	FIN	0	1.M_120209_2
HG00337	5	2.0	FIN	0	5.M_120131_5
HG00338	2	1.0	FIN	0	2.M_111215_8
HG00339	4	2.0	FIN	0	4.M_120208_1
HG00341	2	1.0	FIN	0	2.M_111216_7
HG00342	1	1.0	FIN	0	1.M_111124_1
HG00343	1	2.0	FIN	0	1.M_111124_5
HG00344	4	2.0	FIN	0	4.M_120208_2
HG00345	1	1.0	FIN	0	1.M_120209_1
HG00346	2	2.0	FIN	0	2.M_120131_1
HG00349	4	2.0	FIN	0	4.M_120208_4
HG00350	3	2.0	FIN	0	3.M_120202_3
HG00351	6	1.0	FIN	0	6.M_120119_5
HG00353	1	2.0	FIN	0	1.M_111124_6
HG00355	2	2.0	FIN	0	2.M_111215_6
HG00356	2	2.0	FIN	0	2.M_111215_6
HG00358	5	1.0	FIN	0	5.M_120131_5
HG00359	1	2.0	FIN	0	1.M_111124_6
HG00360	3	1.0	FIN	0	3.M_120202_8
HG00361	7	2.0	FIN	0	7.M_120219_5
HG00362	3	2.0	FIN	0	3.M_120202_2
HG00364	2	2.0	FIN	0	2.M_111215_8
HG00365	7	0	FIN	1	7.M_120219_5
HG00366	4	1.0	FIN	0	4.M_120208_1
HG00367	2	2.0	FIN	0	2.M_120131_1
HG00369	5	1.0	FIN	0	5.M_120131_1
HG00371	1	0	FIN	1	1.M_111124_3
HG00372	4	1.0	FIN	0	4.M_120208_3
HG00373	2	2.0	FIN	0	2.M_111215_6
HG00375	4	1.0	FIN	0	4.M_120208_4
HG00376	2	2.0	FIN	0	2.M_111216_1
HG00377	2	2.0	FIN	0	2.M_120131_2
HG00378	5	2.0	FIN	0	5.M_120131_5
HG00379	5	0	FIN	1	5.M_120131_3
HG00380	3	0	FIN	1	3.M_120202_8
HG00381	3	2.0	FIN	0	3.M_120202_7
HG00382	4	1.0	FIN	0	4.M_120208_4
HG00383	1	2.0	FIN	0	1.M_111124_1
HG00384	2	2.0	FIN	0	2.M_111216_4
HG01334	7	1.0	GBR	0	7.M_120219_8
HG01789	6	0	GBR	1	6.M_120119_1
HG01790	3	0	GBR	1	3.M_120202_3
HG01791	2	0	GBR	1	2.M_111216_5
HG02215	1	0	GBR	1	1.M_111124_4
NA06984	1	0	CEU	0	1.M_111124_4
NA06985	1	0	CEU	1	1.M_111124_7
NA06986	2	0	CEU	0	2.M_111215_4
NA06989	3	0	CEU	0	3.M_120202_7
NA06994	2	0	CEU	0	2.M_111215_7
NA07037	6	0	CEU	0	6.M_120119_4
NA07048	6	0	CEU	0	6.M_120119_6
NA07051	5	0	CEU	0	5.M_120131_1
NA07056	1	0	CEU	0	1.M_111124_3
NA07346	2	0	CEU	1	2.M_111215_7
NA07347	7	0	CEU	0	7.M_120219_3
NA07357	2	0	CEU	0	2.M_111216_5
NA10847	4	0	CEU	0	4.M_120208_4
NA10851	4	0	CEU	0	4.M_120208_1
NA11829	6	0	CEU	0	6.M_120217_1
NA11830	3	0	CEU	0	3.M_120202_4
NA11831	7	0	CEU	0	7.M_120219_2
NA11832	2	0	CEU	1	2.M_120131_2
NA11840	6	0	CEU	1	6.M_120119_5
NA11843	4	0	CEU	0	4.M_120208_6
NA11881	1	0	CEU	1	1.M_111124_5
NA11892	1	0	CEU	0	1.M_111124_2
NA11893	7	0	CEU	0	7.M_120219_3
NA11894	2	0	CEU	0	2.M_111215_4
NA11918	1	0	CEU	1	1.M_111124_3
NA11920	2	0	CEU	0	2.M_120131_1
NA11930	3	0	CEU	0	3.M_120202_8
NA11931	1	0	CEU	0	1.M_111124_8
NA11992	6	0	CEU	0	6.M_120119_5
NA11993	2	0	CEU	0	2.M_111216_4
NA11994	2	0	CEU	0	2.M_111216_7
NA11995	7	0	CEU	0	7.M_120219_5
NA12004	4	0	CEU	0	4.M_120208_5
NA12005	4	0	CEU	1	4.M_120208_1
NA12006	5	0	CEU	0	5.M_120131_1
NA12043	2	0	CEU	0	2.M_120127_7
NA12044	4	0	CEU	0	4.M_120208_8
NA12045	3	0	CEU	0	3.M_120202_3
NA12058	5	0	CEU	0	5.M_120131_7
NA12144	4	0	CEU	0	4.M_120208_1
NA12154	5	0	CEU	0	5.M_120131_3
NA12155	4	0	CEU	0	4.M_120208_8
NA12156	4	0	CEU	1	4.M_120208_7
NA12234	7	0	CEU	1	7.M_120219_6
NA12249	1	0	CEU	0	1.M_120209_1
NA12272	3	0	CEU	0	3.M_120202_5
NA12273	1	0	CEU	0	1.M_111124_4
NA12275	7	0	CEU	0	7.M_120219_5
NA12282	3	0	CEU	0	3.M_120202_7
NA12283	2	0	CEU	0	2.M_111216_5
NA12286	2	0	CEU	0	2.M_111216_1
NA12287	3	0	CEU	0	3.M_120202_3
NA12340	5	0	CEU	0	5.M_120131_7
NA12341	1	0	CEU	0	1.M_111124_5
NA12342	1	0	CEU	0	1.M_111124_5
NA12347	1	0	CEU	0	1.M_111124_7
NA12348	3	0	CEU	0	3.M_120202_6
NA12383	1	0	CEU	0	1.M_111124_3
NA12399	1	0	CEU	0	1.M_120209_4
NA12400	2	0	CEU	0	2.M_111216_2
NA12413	2	0	CEU	0	2.M_111215_6
NA12489	1	0	CEU	0	1.M_111124_2
NA12546	3	0	CEU	0	3.M_120202_4
NA12716	7	0	CEU	0	7.M_120219_6
NA12717	1	0	CEU	0	1.M_111124_3
NA12718	1	0	CEU	0	1.M_111124_7
NA12749	1	0	CEU	0	1.M_111124_2
NA12750	2	0	CEU	0	2.M_111216_2
NA12751	2	0	CEU	0	2.M_111215_8
NA12760	3	0	CEU	1	3.M_120202_3
NA12761	6	0	CEU	0	6.M_120119_2
NA12762	4	0	CEU	1	4.M_120208_3
NA12763	2	0	CEU	0	2.M_111216_8
NA12775	7	0	CEU	0	7.M_120219_5
NA12776	6	0	CEU	1	6.M_120119_6
NA12777	4	0	CEU	0	4.M_120208_6
NA12778	1	0	CEU	0	1.M_111124_4
NA12812	1	0	CEU	0	1.M_111124_4
NA12813	2	0	CEU	1	2.M_111216_6
NA12814	7	0	CEU	0	7.M_120219_3
NA12815	1	0	CEU	0	1.M_111124_3
NA12827	3	0	CEU	0	3.M_120202_2
NA12829	7	0	CEU	0	7.M_120219_4
NA12830	1	0	CEU	0	1.M_111124_2
NA12842	6	0	CEU	0	6.M_120119_4
NA12843	6	0	CEU	0	6.M_120119_4
NA12872	2	0	CEU	0	2.M_111216_2
NA12873	7	0	CEU	0	7.M_120219_1
NA12874	3	0	CEU	0	3.M_120202_2
NA12889	3	0	CEU	0	3.M_120223_7
NA12890	1	0	CEU	0	1.M_111124_3
NA18486	7	1.0	YRI	0	7.M_120219_4
NA18487	6	1.0	YRI	0	6.M_120119_5
NA18488	4	0	YRI	1	4.M_120208_7
NA18489	2	2.0	YRI	0	2.M_111216_1
NA18498	2	1.0	YRI	0	2.M_120131_1
NA18499	1	2.0	YRI	0	1.M_111124_2
NA18502	7	2.0	YRI	0	7.M_120219_8
NA18505	3	2.0	YRI	0	3.M_120202_1
NA18508	1	2.0	YRI	0	1.M_111124_1
NA18510	3	1.0	YRI	0	3.M_120202_7
NA18511	7	2.0	YRI	0	7.M_120219_2
NA18517	3	2.0	YRI	0	3.M_120202_1
NA18519	1	1.0	YRI	0	1.M_111124_3
NA18520	1	2.0	YRI	0	1.M_111124_1
NA18858	2	2.0	YRI	0	2.M_111216_8
NA18861	1	2.0	YRI	0	1.M_120209_2
NA18867	1	2.0	YRI	0	1.M_111124_2
NA18868	5	1.0	YRI	0	5.M_120131_3
NA18870	6	2.0	YRI	0	6.M_120119_4
NA18873	4	2.0	YRI	0	4.M_120208_7
