IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
HG00117	-0.018638229276739863	-0.01714020804177528	-0.07911971085450159	-0.05642130781014895	0.004765794358380094	0.06402758309343637	-0.04728339175974923	-0.05853164706933219	0.02847285578295789	0.0393767286958561	0.07202325193112236	-0.03229767139670231	-0.059897359478535916	-0.0021244308742653095	0.0055458157845970635	0.06187338908194141	0.01506712995466851	-0.10041323015844736	0.004945334508972877	0.008121492289358406	-0.015381565949644432	-0.012101598903813793	0.0002886830857142062	-0.010927781283871035	0.028525715174988822	-0.047423505440700175	-0.023891747784170775	0.01951407951545244	0.016485128495996364	-0.01679228032368517
HG00118	-0.0077856117850587745	0.02583397796829303	-0.028970067658695437	-0.03866327648338417	0.04915176592564106	0.05567834408636243	-0.017692675960405958	-0.06637439448605886	-0.028528333086893183	0.07859680100615678	0.06309188706970953	0.03324482835052599	0.004214623778052318	0.00367007733080138	-0.005099279920715016	-0.014845284190446938	-0.049809432685948674	0.008663131787212466	-0.024515880658304595	0.012895448297143071	0.004229491632018606	-0.044817375160774386	-0.00840917300656319	0.01693871223865262	0.05246055137835314	-0.03644397358031632	0.017112651546733096	0.05169599890523968	-0.01573589695780173	-0.035847541633602695
HG00119	0.07838953036362702	0.01229803428450853	-0.04675978316809756	0.028534592824965215	0.05833650093121338	-0.028857722119943332	0.0361757979913045	-0.08689609768301453	0.025373111328886224	-0.006918644314798228	0.00016951857255336964	0.03679596785928474	-0.012194718744551414	0.003335208201503015	0.02144602479900104	0.034853087949692885	-0.036078761885993196	-0.032736355766269126	-0.04429774771925801	0.051505207768936245	-0.023022622597024894	-0.002856681300685948	-0.02762228158279037	-0.0254306913270939	-0.026386426644447816	0.021427860910403662	0.046774603182588026	0.02991589103872682	0.007905135662316556	0.011098752871697745
HG00120	-0.07221271400830638	0.06788006013877798	-0.11483642066835045	0.010368444735266106	0.09784198023707918	0.04794541975345658	0.040253942982004035	-0.054800098628825726	0.10906397320491418	0.02247463107272245	0.02731989734020629	-0.06269641034579299	0.008972500567303462	-0.10860022946429215	-0.09489447833229425	-0.033519685251358254	0.01432215886697874	0.06241964708372076	-0.004549463423270025	-0.027771241808378852	0.02357456432640881	-0.059270196397678276	-0.01791298828400424	0.03192542444990807	0.011534129178774444	-0.01766329493850765	-0.05856239772804492	-0.06352757423665022	-0.0551766924976482	-0.005780300233469038
HG00121	-0.05490662881116213	0.009982197458406788	-0.07157420747971029	-0.05701317899607986	0.08361821612073375	0.0674667087820084	0.038758514136992314	-0.005996041456197936	0.11779221261758718	-0.01156359552393626	0.037836844077683826	0.05355649075868544	-0.018172520965299546	0.04656312221814098	-0.04897777001049766	0.06681356758226094	-0.08841557254071852	0.0704168338976644	-0.048262653572186336	-0.0043736182711707206	-0.005957794629085876	-0.016837700257649472	-0.014254592775981635	-0.0215099007648224	0.008896846695430713	-0.07688574193344079	0.014192952020801564	0.044027220680112736	-0.04211438626553235	0.09926317156911713
HG00122	-0.061061632402743427	0.021805889859064675	-0.008918830290302245	-0.04805766270265757	0.05860292298642326	0.0013887838008449136	-0.004049956377626444	-0.05958910495179546	-0.032342055162869705	0.055424366253064815	0.019632527433015474	0.04996800759392782	0.0749783036797097	-0.005506199793759839	0.008281618864353385	0.015528665503196565	-0.025045553069168974	-0.00785895002383008	0.012992152382865656	0.009835578690893021	0.02067074986829165	-0.030176940227335303	0.009657180417353995	-0.0037049532174336843	-0.022721065475365454	-0.002553815402948967	-0.026425235605696207	0.004063635065707622	-0.021268357463647927	0.02482560865603148
HG00123	-0.05804392655527618	0.0598541189979805	0.02797238479757217	-0.05579815895054804	0.08561926640337164	-0.02553566398369323	-0.007161622182198611	-0.029958433290450254	-0.024859802286914336	0.06868800336926044	0.05409090271125589	0.007143166632701984	-0.030408901115439327	-0.012587662110973803	-0.012839051355912456	0.04668518927958332	-0.018349487288176744	0.02771423468575912	0.03397553455851044	0.002630745674128465	0.015947018021304125	-0.005507475144649457	0.028410399418124545	0.04044398804730828	-0.03131819912552626	0.006507562116710393	-0.048049132673588964	-0.0655968972119703	0.06871590768468971	-0.03508769018189911
HG00124	0.05201251477770678	-0.004752227906489179	-0.01824332883994923	0.029933941525351393	0.09667436168911198	-0.03677544189788121	-0.043802369495409284	-0.05992499744160364	0.07676884906375361	0.012011162345294969	0.07817078818032537	-0.013083424422229274	0.002647715251083411	-0.05067589783118154	0.005177333058923289	0.005201081786187611	-0.0615072650491921	-0.016317876159241795	-0.011499698411722437	0.010477961074803921	0.05171127743485547	-0.06037233713415835	-0.005436459849732416	0.004936499788968207	0.05554026711710334	0.02958828421910821	0.035346913833027155	0.03305954892853577	0.016115897050862818	0.02528533520669185
HG00125	0.027585372826603977	-0.06390226036425091	-0.026647751463752287	-0.0398913063951149	-0.04426655489740537	0.11969743281957333	-0.02064427500946183	-0.046507006201314816	0.11299391560996824	-0.027261104469953844	0.04567933964283931	0.04303401695339597	0.06926985832775452	0.014404340646403795	0.0016260967749600341	0.06565021448440522	-0.012367540905265276	0.017878630917268934	-0.030547009731697862	0.0041739887588960745	0.07896513316354795	0.032843094683228366	0.0021063397588870925	-0.06461958510658092	-0.03440241834145566	0.03047317794572025	-0.019310188395810418	-0.007048797165422047	0.07924183206154418	-0.07426088624868162
HG00126	-0.01929865762781673	-0.05741643297769157	0.024438546071304766	-0.05563388923189533	0.05547838236135803	0.058501176236109634	-0.005639567499481939	-0.04222052980674595	0.10042381473166717	-0.0014310479075412032	0.058941763564867106	-0.0010380611066917492	-0.04741955024448427	0.09108517132419096	-0.05034123247103267	0.08813370206367532	-0.03543310862079749	-0.017042690090759566	-0.0915508495130157	0.07907152322091354	0.015081619126145779	-0.005762945203265313	-0.0019876481607814644	-0.017061092397617217	0.009521384834039637	-0.016712113537934725	-0.06729407503349243	0.026469581061300075	-0.04715805772654519	0.04846808258337332
