IID	geno_coef_0	geno_coef_1
HG00281	0.02837419869878765	-0.08539245544449892
HG00282	0.027311848870871933	-0.08912414850602021
HG00284	0.027895044536777488	-0.0814428989190603
HG00285	0.027181472286608707	-0.0984781647408228
HG00306	0.027048929699631807	-0.0600860345949339
HG00309	0.027340507654652336	-0.0859529130677336
HG00310	0.02833644203067192	-0.06208383698205988
HG00311	0.028204668222148867	-0.052113778901794645
HG00312	0.02825912400736163	-0.0639662986342628
HG00313	0.027715329597938352	-0.092729773625855
HG00315	0.027264171977669355	-0.07660968699879209
HG00319	0.027076302384620606	-0.09156742270664239
HG00320	0.02778108155194015	-0.07087202418457607
HG00321	0.02807763547817056	-0.08275060850112136
HG00323	0.02743526784667611	-0.10082838433280647
HG00324	0.027597812665405338	-0.11002716012422671
HG00325	0.02814490708379833	-0.10723494938661644
HG00326	0.026884045800187113	-0.08207143083132563
HG00327	0.027536827475305822	-0.08789371697762918
HG00328	0.02760580498943458	-0.07770319825932677
HG00329	0.028399464436889434	-0.06753209714330836
HG00330	0.026259857767828812	-0.06947651401848044
HG00331	0.02784720232582726	-0.06888451909602011
HG00332	0.03010519608164157	-0.07601350411520709
HG00334	0.02829103650692566	-0.06817253448780258
HG00335	0.028411075810021776	-0.07703245023234571
HG00336	0.027269814694174947	-0.08996512977114068
HG00337	0.029044586458870914	-0.056525656667902095
HG00338	0.02715996170824476	-0.08416189067815825
HG00339	0.027471334171650107	-0.0772230956516958
HG00341	0.029475177137611913	-0.05139216743471395
HG00342	0.026929478098454526	-0.09601650324215173
HG00343	0.027522667504543342	-0.09303101849542797
HG00344	0.028432324115255807	-0.03137507892568159
HG00345	0.028256441966711635	-0.07987078481143739
HG00346	0.02830764964001933	-0.07177103743059575
HG00349	0.03141525847051425	-0.09024493491357903
HG00350	0.031585178225151285	-0.04544648955372938
HG00351	0.032065537563716	-0.09255799195273859
HG00353	0.028710081188303555	-0.07954101554890679
HG00355	0.03220329997587656	-0.07066111858475532
HG00356	0.0321848625999066	-0.08263297335361185
HG00358	0.031136969057638374	-0.1254612801259927
HG00359	0.03261742263283764	-0.0798875659436938
HG00360	0.031358382851145304	-0.07279462098703164
HG00361	0.028053937406497646	-0.10841750803061169
HG00362	0.031103352888758814	-0.08134910439204684
HG00364	0.03251941656427149	-0.09539265998258291
HG00366	0.027045302546003472	-0.07954421570007575
HG00367	0.02779773064124	-0.06941157573877732
HG00369	0.028148646279238822	-0.09536226528454803
HG00372	0.0284630968381759	-0.07482571200494931
HG00373	0.027003112918660067	-0.0970604700072356
HG00375	0.02729185511234818	-0.09549710897103536
HG00376	0.03114555095389827	-0.07198109676739295
HG00377	0.028208165012157657	-0.09704210422842928
HG00378	0.03123320660370942	-0.09336596339865351
HG00381	0.03150449298173788	-0.08522025104340104
HG00382	0.02971380972369786	-0.10573326576060145
HG00383	0.030305756809758694	-0.1065423728778759
HG00384	0.032204320659602666	-0.0869075538678757
HG01334	0.027722744980437766	0.024149547832164237
NA18486	-0.10143982906993487	-0.002485809107267258
NA18487	-0.1009594633605934	0.0007484337358485895
NA18489	-0.10128943680282632	-0.00032395296387983117
NA18498	-0.10092815255904145	0.0004027009817615159
NA18499	-0.10136755959760446	0.0004751507589134288
NA18502	-0.09939241814835055	-0.00033564549912938775
NA18505	-0.10086042723050798	0.0020365785692787737
NA18508	-0.10041004720284258	0.007729151285713489
NA18510	-0.10142271576980547	0.003798851240337614
NA18511	-0.10172950089572189	0.001434221158672478
NA18517	-0.09969446067565019	0.005513757167125029
NA18519	-0.10175048741512209	-0.00011269057685163609
NA18520	-0.1016885438773869	0.004563932943796383
NA18858	-0.10126012252787482	0.004142952853549825
NA18861	-0.10007630225143918	0.0008810269388692497
NA18867	-0.10193748799064024	-0.0003122104867309083
NA18868	-0.10151342491686269	0.0003772761520353118
NA18870	-0.10284592290245934	0.0008335103833497745
NA18873	-0.10141459377603017	0.0015636191375686473
NA18907	-0.10218641799829463	0.0026112906134576038
NA18908	-0.10207291176558306	0.0036566301715538984
NA18909	-0.101729955597734	0.0039110205966463255
NA18910	-0.10123041274980671	-0.0021095277729276654
NA18912	-0.10044074573343427	0.0021533242667222886
NA18916	-0.10172313266220373	0.003208612097212041
NA18917	-0.1029704247626137	0.003987120058675439
NA18923	-0.1023733667523481	-0.0001651202819032687
NA18933	-0.10326372608953074	0.0010657698260238546
NA18934	-0.10158821006947626	-0.0022276682557752984
NA19093	-0.09957256155458552	-0.0034971195652473753
NA19095	-0.09452042191390142	-0.009115293246565452
NA19096	-0.0949802301885704	-0.006896661705087675
NA19098	-0.10099870002991253	-0.00021851486996371183
NA19099	-0.10022152247031824	0.003062770038760264
NA19102	-0.10180873916512165	0.0009821788200741683
NA19107	-0.09955606826235446	-0.0005059888105177682
NA19108	-0.10107025662476618	-0.0028118689425728773
NA19113	-0.09619569211257728	-0.008422843586892503
NA19114	-0.10084687634133392	0.0032524728409186517
NA19116	-0.10208519713421121	0.0022892780139650813
NA19117	-0.0946211704432346	-0.009314080671644258
NA19118	-0.09152196597343176	-0.004752980496335847
NA19119	-0.10127842827986652	0.0026256983969469576
NA19121	-0.0939755318478481	-0.005685249821844103
NA19129	-0.09845500952093583	0.0009665010517016619
NA19130	-0.1023229080950902	0.005347630286655606
NA19131	-0.10326244732920373	0.011061448062768944
NA19137	-0.10082775471679543	0.0002222606492288661
NA19138	-0.09905521134417261	0.003200563232225981
NA19146	-0.09439113068065363	-0.0031930580274926214
NA19147	-0.10237700478115422	0.005253838235410885
NA19149	-0.09594486198161319	-0.005245952730670269
NA19150	-0.0938770715276931	-0.008683536024127593
NA19152	-0.09919743227003366	-0.0013724022324997042
NA19160	-0.10079878883208715	0.003411290883103717
NA19171	-0.10061258056575573	0.002653930164423107
NA19172	-0.10154665141013083	-0.003030681102188168
NA19175	-0.09495002327077967	-0.0036762937001305934
NA19185	-0.09466319514641519	-0.00471405120845732
NA19189	-0.10166375820463319	0.007456677155536903
NA19190	-0.10176601347621962	0.00694176823177422
NA19197	-0.102652962380087	0.004481938123266398
NA19198	-0.10312393565358845	0.003360355960052434
NA19200	-0.10005705907653605	-0.003159234842419885
NA19204	-0.1015410238014256	0.0028192679707840537
NA19207	-0.10183259888556503	0.0012620607281598395
NA19209	-0.1007152671267211	-0.0019210628179613977
NA19213	-0.10140867298956407	-0.003114701486241164
NA19222	-0.0953315602127286	-0.002445921537709663
NA19223	-0.10215434639055382	0.0015233105531116847
NA19225	-0.1012754488077938	0.0023182200399032237
NA19235	-0.10273652957814934	0.0036015891502468203
NA19236	-0.10296323259873855	2.5354625844028333e-05
NA19247	-0.1004834158364414	0.004534772859872302
NA19248	-0.10373157812015887	0.009946742877784291
NA19256	-0.10173631391105833	0.0019962667384073045
NA19257	-0.10076086758132144	0.001696604315484375
NA20502	0.029975105682714928	0.06390813610748292
NA20503	0.03113374100359704	0.05450914508009078
NA20504	0.029799871090602625	0.05826658120216791
NA20505	0.029846105131825423	0.05715479624381961
NA20506	0.030395735397232546	0.0605629563317629
NA20507	0.029081231853028314	0.055119865584377495
NA20508	0.0293995763614612	0.058149388579657076
NA20509	0.029375603586652865	0.06671624642045305
NA20510	0.02916591052941977	0.05679207459929376
NA20512	0.03143273682360644	0.06319226867433571
NA20513	0.030061495975366625	0.06415629669889929
NA20515	0.030118339047936888	0.05691582822841218
NA20516	0.03089860362764527	0.06469111058583582
NA20517	0.031005352026732356	0.05815049794808327
NA20518	0.03102283570808072	0.052164204137057815
NA20519	0.0302695944074821	0.06396915189834422
NA20520	0.03037111943815877	0.05572342130602549
NA20521	0.029548679196416974	0.06754795314807438
NA20524	0.029411078987136963	0.04867606448372095
NA20525	0.030132030956448966	0.06226662462831647
NA20527	0.030002509238736326	0.05446878766757877
NA20528	0.029657143375660045	0.06493801837686677
NA20529	0.02948876318591368	0.0613493870636469
NA20530	0.029891629487900022	0.05565953959446543
NA20531	0.031027672025812573	0.05783039991450571
NA20532	0.030154884059635085	0.06244970291561244
NA20534	0.029274412948174185	0.05891605852399223
NA20535	0.03055892622182749	0.05525736252553458
NA20536	0.029308153507357756	0.05902236849754259
NA20537	0.03021329868059039	0.06380862903983489
NA20538	0.029327889319516614	0.0634215686920144
NA20539	0.030631769585308714	0.06593665280469743
NA20540	0.029835546594252988	0.05973752488641556
NA20541	0.029815162614506546	0.05994716595554233
NA20542	0.029675893639043924	0.05667247595962742
NA20543	0.028921066904055857	0.06410650768790623
NA20544	0.02922390081912999	0.056550467120067296
NA20581	0.02888170762895042	0.06305035529136263
NA20582	0.02955246445379128	0.05475157349001445
NA20585	0.030310379633721296	0.05172658765348383
NA20586	0.02861359369105103	0.058250712812124794
NA20588	0.028913538453980776	0.06260318138309161
NA20589	0.02848139044276323	0.06147399150387878
NA20752	0.029332242948843883	0.06226578325214032
NA20754	0.028962427860603233	0.05604345776203843
NA20756	0.029355314606365857	0.05104661758031043
NA20757	0.028398232276922408	0.057455644108711804
NA20758	0.02870083783699543	0.05572522244743255
NA20759	0.028963348937632333	0.05936064088286122
NA20760	0.029175552102226256	0.055741983978256936
NA20761	0.02923877650978072	0.052634819521553904
NA20765	0.028739762590923087	0.05930171726684347
NA20766	0.02808126453537685	0.05130128700363046
NA20768	0.02940088864126608	0.06403643489698754
NA20769	0.030214607873032553	0.05745655014429721
NA20770	0.029731550464836085	0.06715575753731372
NA20771	0.02964221282838864	0.06211337654134398
NA20772	0.0286844190167188	0.05986651204330778
NA20773	0.029575231268814235	0.056670069262563016
NA20774	0.029746174707058454	0.06351670756802733
NA20778	0.029923996433101663	0.052065351037982155
NA20783	0.029075433331223557	0.06021310781033378
NA20785	0.029298103070710447	0.05251222719364208
NA20786	0.028736229227115852	0.06779304750784611
NA20787	0.028997618272833516	0.059314810819668246
NA20790	0.029124294876237997	0.05949954425436088
NA20792	0.02920295056916119	0.05604212198056009
NA20795	0.02974946881863965	0.06206398106812514
NA20796	0.02951028458323407	0.056368782013688966
NA20797	0.028668671180351785	0.06211278246858351
NA20798	0.029870936800612903	0.05521081110413344
