IID	exp_coef_0	exp_coef_1
HG00096	0.016817899848365604	0.02966368906388203
HG00097	0.025849712060536583	-0.05299964893291908
HG00099	0.01563819192807608	-0.010761747214664287
HG00100	0.04334312947197519	0.0013301259371063501
HG00101	0.03265980167566577	0.0006914170242338564
HG00102	0.035264715550606215	-0.011254327527933455
HG00103	0.02967044400746147	0.018398861795030204
HG00104	0.02721157675444996	0.07601963642697243
HG00106	0.032377391187832116	0.06953134417154931
HG00108	0.027677355529709437	-0.004833468620866563
HG00109	0.02518043133641429	0.03967931716345364
HG00110	0.02672173568297631	0.008816721631351014
HG00111	0.02759582293455769	0.024269974972900798
HG00112	0.033546925747173356	0.007646948393758758
HG00114	0.04720790711354192	0.01419705083907623
HG00116	0.00971379793108389	-0.005377478023091037
HG00117	0.022085203332181405	0.004937234412444285
HG00118	0.023297076307440275	0.06481736801375977
HG00119	0.036333359126484444	0.014369492132917928
HG00120	0.0411735389608028	0.10138229338530258
HG00121	0.03764293640808475	0.07173767402060509
HG00122	0.04988518385465261	0.016726856958108993
HG00123	0.02282418510286959	0.05982872963051406
HG00124	0.016766192785952934	0.019549812159439614
HG00125	0.011057537774642624	0.010241705795649503
HG00126	0.032907266745165344	0.051758823833911116
HG00127	0.024470936985908957	0.0478427192862931
HG00128	0.032020764417739454	-0.004349704959925354
HG00129	0.02435042436780934	0.020091589142001726
HG00130	0.03933464075431222	0.009837496436523313
HG00131	0.03141152654276967	0.03363385985913701
HG00133	0.03187844928133557	0.010274787855269028
HG00134	0.02413617243935315	0.0005176713038096964
HG00135	0.05117124093353605	0.04186145400853155
HG00136	0.012061013202878815	0.017080093939440898
HG00137	0.05240024115033291	0.02035603713819236
HG00138	0.04235275722525728	0.049567309470747084
HG00139	0.029092183574808354	0.023155728069646418
HG00141	0.020847702873194606	0.05159680424617514
HG00142	-0.008403142496499766	-0.010861075023778735
HG00143	0.02392348885780262	0.03459003877613103
HG00146	0.029810448453653757	-0.013564216927490026
HG00148	0.02343858992372869	-0.008511430735672565
HG00149	0.01831490281757974	0.024396768856062942
HG00150	-5.4228394023516095e-05	0.024050410504555707
HG00151	0.023101196861719107	0.03209644409289068
HG00152	0.04458944319902625	-0.0212005679405685
HG00154	0.045919644603976476	0.005127870670373957
HG00155	0.007644097024972551	0.02384565515132686
HG00156	0.013308816957570501	-0.02663777117592789
HG00158	0.03353755414783154	-0.010085040031719674
HG00159	0.03258188872167652	0.030188502228129688
HG00160	0.03725592760627875	0.012588721421857406
HG00171	0.05299789501839946	-0.04257968255751213
HG00173	0.037363328141336166	-0.11430573938628086
HG00174	0.018361729985214216	-0.09674921242556639
HG00176	0.01841717506974657	-0.05821832284036028
HG00177	0.02176914899999717	-0.09207312286942124
HG00178	0.03341704417909177	-0.17617467682979035
HG00179	0.010014638503546093	-0.058980406570964365
HG00180	0.03203410353302732	-0.05790800617431806
HG00182	0.013652393022362095	-0.040426947141289596
HG00183	0.005547010920448181	-0.06408292653415687
HG00185	0.01353130433569991	-0.08077093345160193
HG00186	-0.011475474334770861	-0.06250898135336555
HG00187	0.022522143073506078	-0.12526354462067615
HG00188	0.03123914816979537	-0.1308469973507547
HG00189	0.011461631390823615	-0.03205343526781059
HG00231	0.019836953347038454	0.011096374830214105
HG00232	0.04593364165786338	0.03925067021479326
HG00233	0.026401674864804943	0.010803638849703543
HG00234	0.03318542499397691	-0.006969016570959024
HG00235	0.04184466131431655	0.06053974747665155
HG00236	0.024010469793433416	-0.015045640361612416
HG00238	0.04569257746484626	0.056299753802021575
HG00239	0.03917021394606397	-0.013977350991807582
HG00240	0.028601865226255612	0.012041775316324586
HG00242	0.006320337341140282	-0.016565710504568072
HG00243	-0.012392308507391321	0.049421651076016475
HG00244	0.04442729515669652	0.021119746081606158
HG00245	0.0257581823485237	0.039705323693645836
HG00246	0.018796955445915357	-0.07533267353397441
HG00247	0.0345670953925595	0.05005139393999459
HG00249	0.021603581999305985	0.01392149427285174
HG00250	0.022974628076164606	0.06283489167063834
HG00251	0.05664179167727201	-0.017996790175387075
HG00252	0.00734303053277815	0.010301435107093226
HG00253	0.017321173532302208	-0.008294028517325991
HG00255	0.03453085869014301	0.03306390910496363
HG00256	0.028573495838748724	0.0001240721520470352
HG00257	0.026491299819251652	0.030220206519613043
HG00258	0.013648523581856113	-0.043897849377042414
HG00259	0.03030715572058452	0.04142146512084305
HG00260	0.015832602852539387	0.0021115783947635177
HG00261	0.029999145104896006	0.009079071468416139
HG00262	0.013719090601342557	0.024677629903204254
HG00263	0.04096203066684869	0.036915274645580844
HG00264	0.06093563582103876	0.023148429813478495
HG00265	0.0165494302967089	0.019727398476617926
HG00266	0.02515970531036466	-0.06405835104451298
HG00267	0.04590011530566046	-0.1370380263412375
HG00268	0.0416310724290515	-0.050621042036933225
HG00269	0.05576970126438437	-0.12473710585599797
HG00271	0.02138283467194206	-0.1005063787088066
HG00272	0.039225255674073416	-0.10567881929685094
HG00273	0.03152153488116894	-0.1206471008457058
HG00274	0.03502561359737143	-0.11404123589437125
HG00275	0.03744747985823386	-0.04356507746775819
HG00276	0.01856951638725789	-0.091085689652345
HG00277	0.02246051969362844	-0.03134950031484978
HG00278	0.04372926829916943	-0.16809360424262904
HG00280	0.03659913693960821	-0.09087571986399941
HG00281	0.04068633536260156	-0.054714348209314985
HG00282	0.05061496954131192	-0.06475744697600426
HG00284	0.03795961204622927	-0.14206456707082726
HG00285	0.018132908702262696	-0.12983492430689214
HG00306	0.018012544634313413	-0.07787969362563293
